"","X","id","load_entry_id","file_descriptor","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_il_6m","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_il_6m","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount"
"519501",519501,4066321,-2140141506,"2016Q1",NA,9000,9000,9000,"36 months","8.49%",284.07,"B","B1","supervisor","10+ years","RENT",62000,"Not Verified","Jan-2016","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","116xx","NY",28.27,0,"Oct-1997",0,NA,NA,6,0,12963,"85.8%",10,"w",0,0,9196.1858953292,9196.19,9000,196.19,0,0,0,"May-2016",75.21,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,45199,0,NA,0,0,30,32165,72,0,0,8919,76,15100,0,0,0,0,7533,2137,85.8,0,0,50,135,108,30,0,120,NA,NA,NA,0,3,3,3,4,3,3,5,3,6,0,0,0,0,100,66.7,0,0,59846,45199,15100,44675,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"76540",76540,3562467,-2140141507,"3d",NA,5000,5000,5000,"36 months","12.05%",166.2,"C","C1","management","1 year","MORTGAGE",38000,"Source Verified","Nov-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","657xx","MO",17.4,0,"Mar-1996",1,68,NA,7,0,6324,"44.5%",14,"w",0,0,5734.3162507474,5734.32,5000,734.32,0,0,0,"Jun-2017",23.71,"","Jun-2017",0,NA,1,"Individual",NA,NA,"",0,0,129152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14200,NA,NA,NA,7,18450,4959,52.8,0,0,34,236,3,3,1,3,68,3,68,0,3,5,3,5,5,5,8,5,7,0,0,0,5,92.3,33.3,0,0,143040,27883,10500,23840,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"656072",656072,3220808,-2140141509,"3b",NA,18300,18300,18250,"36 months","14.09%",626.26,"B","B5","Compass Airlines","5 years","OWN",70000,"Not Verified","Jan-2013","Fully Paid","n",NA,"","debt_consolidation","Clean Up","282xx","NC",24.63,0,"Jun-1995",0,30,96,9,1,20923,"74.2%",33,"f",0,0,21818.9503791396,21759.34,18300,3518.95,0,0,0,"Nov-2014",8677.76,"","Dec-2014",0,30,1,"Individual",NA,NA,"",0,0,116198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28200,NA,NA,NA,4,12911,2235,84.8,0,0,208,214,10,10,0,56,NA,10,NA,0,4,7,4,7,19,7,14,7,9,0,0,0,2,97,75,1,0,111474,116198,14700,83274,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"578595",578595,3138772,-2140141509,"3b",NA,10000,10000,10000,"36 months","11.99%",332.1,"B","B3","Bayer CropScience","10+ years","OWN",85000,"Verified","Sep-2013","Fully Paid","n",NA,"","debt_consolidation","DC","640xx","MO",20.97,4,"Sep-1996",0,5,NA,17,0,12262,"48.7%",32,"f",0,0,11271.4099999993,11271.41,10000,1271.41,0,0,0,"Jan-2015",6622.19,"","Apr-2017",0,NA,1,"Individual",NA,NA,"",0,0,262205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25200,NA,NA,NA,4,16388,11561,50.8,0,0,125,207,10,10,3,10,13,10,8,0,5,6,11,14,8,13,21,6,17,0,0,0,1,75,20,0,0,337031,38701,23500,47180,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"678840",678840,3244002,-2140141509,"3b",NA,12000,12000,11975,"36 months","15.80%",420.71,"C","C3","Custom Aircraft Cabinets Inc.","1 year","MORTGAGE",46000,"Source Verified","Sep-2012","Charged Off","n",NA,"Borrower added on 09/22/12 > credit card refinancing<br>","credit_card","DownTown","720xx","AR",8.44,0,"Mar-2002",2,NA,NA,16,0,12282,"49.1%",22,"f",0,0,3929.12,3920.97,2196.15,1161.93,0,571.04,5.41,"Jun-2013",420.71,"","Oct-2016",0,NA,1,"Individual",NA,NA,"",0,0,192045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,NA,NA,7,12003,6789,50.1,0,0,96,128,2,2,2,2,NA,3,NA,0,5,8,9,11,2,14,17,8,16,0,0,0,5,100,11.1,0,0,207468,12827,13600,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"31774",31774,4254499,-2140141504,"2016Q3",NA,10000,10000,10000,"36 months","5.32%",301.15,"A","A1","Police Officer","< 1 year","OWN",85000,"Source Verified","Jul-2016","Fully Paid","n",NA,"","home_improvement","Home improvement","331xx","FL",5.36,0,"Mar-2000",1,NA,NA,12,0,1029,"4%",34,"w",0,0,10534.4364548095,10534.44,10000,534.44,0,0,0,"Sep-2017",6619.8,"","Oct-2017",0,NA,1,"Individual",NA,NA,"",0,0,304770,2,NA,0,1,14,59726,81,1,1,979,38,25900,2,1,3,4,25398,19571,5,0,0,101,196,3,3,2,33,NA,3,NA,0,2,2,5,7,16,8,16,2,12,0,0,0,2,100,0,0,0,334770,60755,20600,63768,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"76054",76054,3561206,-2140141507,"3d",NA,8000,8000,8000,"36 months","9.99%",258.1,"B","B3","Supervisor","6 years","RENT",36000,"Not Verified","Nov-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","900xx","CA",23.9,1,"Apr-2009",0,5,NA,10,0,10467,"54.8%",14,"w",0,0,9079.8338886368,9079.83,8000,1079.83,0,0,0,"Oct-2017",2412.73,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,13688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19100,NA,NA,NA,1,1369,5984,62.8,0,0,57,79,15,15,0,15,5,24,5,1,6,7,7,8,2,9,12,8,10,0,0,0,0,85.7,28.6,0,0,37039,13688,16100,17939,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"196082",196082,3812782,-2140141507,"3d",NA,6600,6600,6600,"36 months","21.67%",250.94,"E","E5","Recreation Specialist","7 years","MORTGAGE",54525,"Source Verified","May-2015","Fully Paid","n",NA,"","other","Other","200xx","DC",18.12,0,"Aug-2004",1,NA,NA,8,0,3313,"89.5%",16,"f",0,0,8926.1630957949,8926.16,6600,2326.16,0,0,0,"Sep-2017",2118.6,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,61401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3700,NA,NA,NA,3,7675,51,96.8,0,0,128,30,2,2,0,17,NA,2,NA,0,2,4,2,2,11,4,5,4,8,0,0,0,1,100,100,0,0,80575,61401,1600,76875,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"576383",576383,3136383,-2140141509,"3b",NA,12250,12250,12250,"36 months","19.20%",450.28,"D","D3","Bosma Enterprises","6 years","MORTGAGE",80500,"Not Verified","Sep-2013","Fully Paid","n",NA,"Borrower added on 09/17/13 > We are making needed home improvements and paying off a few high interest credit cards.<br>","home_improvement","Home Repair","461xx","IN",8.87,2,"Jul-2002",1,15,NA,11,0,3828,"69.6%",30,"f",0,0,16213.6623245877,16213.66,12250,3963.66,0,0,0,"Oct-2016",3.58,"","Nov-2017",0,37,1,"Individual",NA,NA,"",0,0,15804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500,NA,NA,NA,1,1437,972,79.7,0,0,129,136,0,0,0,26,15,0,15,1,6,6,6,16,11,7,19,6,11,0,0,0,1,80,33.3,0,0,29511,15804,4800,24011,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"235026",235026,3882315,-2140141507,"3d",NA,35000,35000,35000,"60 months","25.80%",1043.78,"G","G1","Lab Services Manager","10+ years","RENT",125000,"Verified","Feb-2015","Charged Off","n",NA,"","other","Other","928xx","CA",10.31,0,"Oct-1998",2,27,NA,19,0,33863,"90.5%",47,"f",0,0,14562.75,14562.75,4699.85,9862.9,0,0,0,"Apr-2016",1043.78,"","Aug-2017",0,NA,1,"Individual",NA,NA,"",0,0,33863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37400,NA,NA,NA,2,1881,3363,85.6,0,0,149,196,4,4,0,11,27,0,27,0,14,18,15,31,1,19,46,18,19,0,0,0,2,91.5,85.7,0,0,37400,33863,23300,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"351835",351835,3380359,-2140141508,"3c",NA,7125,7125,7125,"36 months","13.98%",243.45,"C","C3","Insurance Agent","3 years","MORTGAGE",40000,"Source Verified","Aug-2014","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","132xx","NY",22.32,1,"Oct-1993",1,18,40,5,1,1644,"71.5%",28,"f",0,0,8764.0404321649,8764.04,7125,1639.04,0,0,0,"Aug-2017",243.29,"","Aug-2017",1,29,1,"Individual",NA,NA,"",0,63,63549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,NA,NA,NA,2,12710,179,86.2,0,0,136,249,7,3,3,27,35,3,18,5,1,2,1,10,7,2,18,2,5,0,0,0,2,85.2,100,0,1,86743,13923,1300,24443,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"29907",29907,4248071,-2140141504,"2016Q3",NA,5525,5525,5525,"36 months","13.49%",187.47,"C","C2","sous chef","1 year","RENT",34000,"Verified","Jul-2016","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","320xx","FL",13.24,2,"Jun-2008",2,19,NA,8,0,3114,"35.4%",11,"f",0,0,6207.8283253597,6207.83,5525,682.83,0,0,0,"Jul-2017",4149.8,"","Nov-2017",0,19,1,"Individual",NA,NA,"",0,0,9330,1,NA,0,0,40,6216,52,1,1,1081,45,8800,1,0,2,1,1166,5186,37.5,0,0,40,97,2,2,0,2,22,0,22,1,6,6,6,8,1,7,9,6,8,0,0,1,1,72.7,0,0,0,20694,9330,8300,11894,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"105878",105878,3630567,-2140141507,"3d",NA,11225,11225,11225,"60 months","18.55%",288.42,"E","E2","Captain","10+ years","MORTGAGE",110000,"Source Verified","Oct-2015","Charged Off","n",NA,"","home_improvement","Home improvement","104xx","NY",2.9,1,"Mar-2003",0,23,NA,4,0,2841,"86.1%",8,"f",0,0,853.69,853.69,350.06,503.63,0,0,0,"Jan-2016",288.42,"","Nov-2017",0,23,1,"Individual",NA,NA,"",0,0,405596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3300,NA,NA,NA,3,101399,459,86.1,0,0,150,17,12,12,4,12,NA,7,NA,2,2,2,2,2,2,2,2,2,4,0,0,1,2,75,100,0,0,464899,4287,3300,2730,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"61781",61781,3526565,-2140141507,"3d",NA,8000,8000,8000,"36 months","9.76%",257.24,"B","B3","Director of Sales","7 years","MORTGAGE",113000,"Source Verified","Dec-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","460xx","IN",26.44,1,"Feb-2000",0,11,NA,14,0,36513,"65.3%",30,"w",0,0,8827.5659562679,8827.57,8000,827.57,0,0,0,"Mar-2017",5230.55,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,354850,0,NA,0,1,14,46302,64,0,2,6076,65,55900,1,1,1,3,25346,3575,76.5,0,0,159,190,13,13,2,44,NA,7,11,0,3,7,2,10,8,8,20,8,13,0,0,0,0,96.7,66.7,0,0,454092,82815,15200,72192,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"223626",223626,3862439,-2140141507,"3d",NA,11000,11000,11000,"36 months","12.69%",369,"C","C2","nurse aid","10+ years","RENT",30000,"Source Verified","Mar-2015","Charged Off","n",NA,"","debt_consolidation","Debt consolidation","926xx","CA",26.16,1,"Jan-1999",1,4,72,15,1,6021,"27.9%",35,"f",0,0,6573.38,6573.38,4379.83,1508.66,0,684.89,123.2801999972,"Jul-2016",369,"","Feb-2017",0,NA,1,"Individual",NA,NA,"",0,1145,16264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21600,NA,NA,NA,8,1162,3619,59.8,0,0,155,194,6,3,0,15,NA,6,4,0,4,7,4,10,9,12,25,7,15,0,0,0,4,96,0,1,0,35329,16264,9000,13729,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"30668",30668,4250672,-2140141504,"2016Q3",NA,9000,9000,9000,"36 months","17.99%",325.33,"D","D2","Table Games Dealer","7 years","MORTGAGE",56000,"Verified","Jul-2016","Fully Paid","n",NA,"","medical","Medical expenses","891xx","NV",28.08,0,"May-2010",2,NA,91,9,1,4015,"19%",13,"w",0,0,10270.5983795122,10270.6,9000,1270.6,0,0,0,"May-2017",7360.62,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,238789,3,NA,2,2,5,45990,90,2,4,2258,70,21100,1,0,3,8,26532,10085,28.5,0,0,74,73,1,1,3,1,NA,1,NA,0,3,3,4,5,3,6,7,3,9,0,0,0,4,100,0,1,0,263960,50005,14100,50860,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"500389",500389,4016344,-2140141506,"2016Q1",NA,17500,17500,17500,"36 months","10.75%",570.86,"B","B4","Pastor","2 years","MORTGAGE",48000,"Source Verified","Feb-2016","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","155xx","PA",16.28,0,"Oct-2000",0,NA,NA,5,0,15332,"67.8%",10,"w",0,0,18654.26,18654.26,17500,1154.26,0,0,0,"Oct-2016",14757.53,"","Oct-2016",0,NA,1,"Individual",NA,NA,"",0,0,26616,0,NA,1,1,10,11284,85,1,2,7405,74,22600,0,1,3,3,5323,2878,81.9,0,0,53,184,9,9,0,23,NA,9,NA,0,2,4,2,4,3,4,7,4,5,0,0,0,2,100,50,0,0,35929,26616,15900,13329,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"454073",454073,3495013,-2140141508,"3c",NA,27925,27925,27925,"36 months","16.24%",985.08,"C","C5","Director","3 years","MORTGAGE",66607,"Source Verified","Feb-2014","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","701xx","LA",26.72,1,"Nov-1997",0,20,NA,11,0,35022,"74.7%",15,"f",0,0,35462.5188411576,35462.52,27925,7537.52,0,0,0,"Feb-2017",984.72,"","Feb-2017",0,50,1,"Individual",NA,NA,"",0,0,78458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46900,NA,NA,NA,1,7133,11878,74.7,0,0,76,195,6,6,0,6,45,13,45,0,6,6,7,8,5,7,8,6,11,0,0,0,1,66.7,28.6,0,0,89042,78458,46900,42142,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"29606",29606,4247131,-2140141504,"2016Q3",NA,5000,5000,5000,"36 months","11.49%",164.86,"B","B5","SERVICE MANAGER","3 years","MORTGAGE",99526,"Source Verified","Jul-2016","Fully Paid","n",NA,"","home_improvement","Home improvement","068xx","CT",11.62,0,"Apr-2000",0,74,84,14,1,6492,"54.6%",28,"w",0,0,5494.2548964574,5494.25,5000,494.25,0,0,0,"Sep-2017",2741.47,"","Sep-2017",0,NA,1,"Individual",NA,NA,"",0,0,608021,4,NA,1,2,8,42805,87,2,4,3908,80,11900,3,0,4,10,55275,1724,72.6,0,0,69,195,2,2,4,19,74,8,74,0,2,3,4,10,7,8,17,3,14,0,0,0,5,100,50,1,0,620448,49297,6300,49454,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"411705",411705,3448038,-2140141508,"3c",NA,5000,5000,5000,"36 months","14.16%",171.28,"C","C2","Supervisor","10+ years","MORTGAGE",52000,"Verified","May-2014","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","494xx","MI",15.88,0,"Jun-1997",2,NA,72,6,1,1423,"44%",19,"w",0,0,6154.2543398835,6154.25,5000,1154.25,0,0,0,"Feb-2017",673.29,"","Feb-2017",0,69,1,"Individual",NA,NA,"",0,0,25939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200,NA,NA,NA,3,4323,600,82,0,0,166,182,34,18,1,44,NA,4,NA,0,2,3,3,10,6,3,12,3,6,NA,0,0,0,58,100,1,0,34970,25939,1200,31770,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"424591",424591,3462401,-2140141508,"3c",NA,22000,22000,21975,"60 months","20.49%",588.88,"E","E2","Police officer","10+ years","MORTGAGE",85000,"Source Verified","Apr-2014","Charged Off","n",NA,"","debt_consolidation","Debt consolidation","191xx","PA",20.98,0,"Apr-1996",4,78,NA,16,0,22737,"65.9%",33,"f",0,0,5299.92,5293.9,2055.5,3244.42,0,0,0,"Jan-2015",588.88,"","Feb-2017",0,NA,1,"Individual",NA,NA,"",0,0,277077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34500,NA,NA,NA,10,17317,7513,67.8,0,0,151,215,5,3,4,7,78,3,78,0,6,10,6,13,12,10,17,10,16,0,0,0,7,97,33.3,0,0,328310,71113,23300,53810,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"163695",163695,3751639,-2140141507,"3d",NA,15000,15000,15000,"36 months","10.99%",491.01,"B","B4","Marketing Manager","7 years","MORTGAGE",60000,"Not Verified","Jul-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","054xx","VT",25.84,0,"Oct-1995",2,46,NA,18,0,13626,"46.2%",36,"w",0,0,16608.78,16608.78,15000,1608.78,0,0,0,"Aug-2016",10725.82,"","Oct-2016",0,NA,1,"Individual",NA,NA,"",0,0,246438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29500,NA,NA,NA,4,15402,10474,56.5,0,0,236,190,3,1,1,3,NA,1,46,1,4,4,7,12,15,13,20,4,18,0,0,0,3,94.4,16.7,0,0,282414,77910,24100,71639,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"188692",188692,3799436,-2140141507,"3d",NA,12000,12000,12000,"36 months","12.29%",400.24,"C","C1","nurse","2 years","MORTGAGE",60000,"Source Verified","May-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","601xx","IL",8.32,0,"Mar-2006",1,60,NA,10,0,12026,"71.2%",17,"f",0,0,13785.0000006752,13785,12000,1785,0,0,0,"Nov-2016",6989.11,"","Oct-2017",0,60,1,"Individual",NA,NA,"",0,0,225630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16891,NA,NA,NA,3,22563,1302,87,0,0,110,109,9,9,2,9,NA,0,NA,1,5,9,5,5,4,9,11,9,10,0,0,0,3,94.1,100,0,0,232906,12026,10000,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"370402",370402,3401267,-2140141508,"3c",NA,10800,10800,10800,"36 months","10.15%",349.25,"B","B2","Retail Supervisor","8 years","MORTGAGE",38000,"Source Verified","Jul-2014","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","226xx","VA",23.06,0,"Nov-1997",1,NA,NA,17,0,10025,"32.2%",20,"w",0,0,12103.19,12103.19,10800,1303.19,0,0,0,"Jan-2016",6165.94,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,980,164771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31100,NA,NA,NA,5,9692,10374,29.4,0,0,34,200,2,2,1,9,NA,2,NA,0,4,12,7,7,2,15,17,12,17,0,0,0,4,100,0,0,0,203829,22528,14700,19504,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"147991",147991,3720903,-2140141507,"3d",NA,10000,10000,10000,"36 months","12.29%",333.53,"C","C1","Executive Director","3 years","RENT",35000,"Not Verified","Jul-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","328xx","FL",5.18,0,"Nov-1996",2,78,72,6,1,6801,"21.3%",14,"w",0,0,10750.38,10750.38,10000,750.38,0,0,0,"Mar-2016",8422.5,"","Sep-2017",0,NA,1,"Individual",NA,NA,"",0,0,6801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32000,NA,NA,NA,2,1134,21493,23.8,0,0,131,224,2,2,0,2,NA,2,78,0,2,3,5,8,1,6,13,3,6,0,0,0,2,100,20,1,0,32000,6801,28200,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"682053",682053,3247217,-2140141509,"3b",NA,4000,4000,4000,"36 months","10.16%",129.37,"B","B1","walmart","6 years","RENT",14000,"Not Verified","Sep-2012","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","895xx","NV",9.09,0,"May-2006",1,NA,NA,5,0,4275,"37.8%",9,"f",0,0,4657.2962830243,4657.3,4000,657.3,0,0,0,"Sep-2015",139.16,"","Sep-2015",0,NA,1,"Individual",NA,NA,"",0,0,4275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11300,NA,NA,NA,2,855,4622,47.5,0,0,NA,77,3,3,0,32,NA,3,NA,0,2,3,3,5,0,5,9,3,5,0,0,0,1,100,0,0,0,11300,4275,8800,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"577460",577460,3137546,-2140141509,"3b",NA,28000,28000,28000,"60 months","16.20%",683.89,"C","C4","GREENWICH TWP POLICE DEPT","10+ years","MORTGAGE",95000,"Source Verified","Sep-2013","Fully Paid","n",NA,"","credit_card","DEBT CON","080xx","NJ",17.36,0,"Feb-2001",0,NA,NA,8,0,37667,"85.6%",29,"f",0,0,35443.37,35443.37,28000,7443.37,0,0,0,"Jul-2015",21081.68,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,257752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44000,NA,NA,NA,4,32219,1221,96.7,0,0,149,153,12,12,4,21,NA,12,NA,0,3,5,3,10,6,6,19,5,8,0,0,0,1,100,100,0,0,295978,56807,37000,25992,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"365994",365994,3396310,-2140141508,"3c",NA,16000,16000,16000,"60 months","13.35%",366.93,"C","C2","executive chef","10+ years","RENT",42500,"Verified","Jul-2014","Charged Off","n",NA,"","debt_consolidation","Debt consolidation","553xx","MN",15.9,0,"Jul-2001",0,76,NA,9,0,6817,"21.6%",22,"w",0,0,6170.01,6170.01,1986.74,1682.56,0,2500.71,225.0639,"May-2015",366.93,"","Oct-2016",0,NA,1,"Individual",NA,NA,"",0,0,19962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31600,NA,NA,NA,8,2218,22053,19.5,0,0,135,156,5,5,0,5,NA,17,NA,0,2,4,6,10,9,8,13,4,9,0,0,0,4,95.5,16.7,0,0,45650,19962,27400,14050,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"532412",532412,4457445,-2140141502,"2017Q1",NA,22000,22000,22000,"36 months","13.99%",751.81,"C","C3","Marriage & Family Therapist","10+ years","RENT",65000,"Source Verified","Jan-2017","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","547xx","WI",17.01,1,"Feb-1992",0,22,NA,11,0,22284,"93.2%",21,"f",0,0,24292.6673681242,24292.67,22000,2292.67,0,0,0,"Nov-2017",17543.48,"","Nov-2017",0,22,1,"Individual",NA,NA,"",0,0,26167,0,NA,0,0,28,3883,28,0,0,6390,69,23900,0,0,0,0,2617,86,99.5,0,0,131,299,54,28,4,54,NA,NA,NA,2,4,7,4,6,5,9,12,7,11,0,0,1,0,90,100,0,0,37992,26167,16300,14092,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
